student_id,minutes_watched,paid_in_q2
862,166.74,1
5515,6.99,1
2060,22.50,1
1064,66.85,1
1210,4.40,1
2385,10.58,1
1434,23.67,1
2222,2.45,1
2986,520.96,1
3292,57.95,1
9178,268.60,1
115084,1.13,1
10299,209.99,1
14649,51.06,1
148257,14.48,1
3643,559.30,1
148346,210.45,1
147884,13.80,1
148109,7.48,1
3598,133.90,1
841,324.74,1
5836,643.55,1
148577,22.67,1
148825,1100.74,1
148927,110.08,1
27104,187.67,1
149038,6.37,1
2417,13.13,1
75080,6.62,1
149023,14.92,1
149131,12.14,1
3631,6.78,1
6165,45.19,1
8600,18.47,1
5340,224.70,1
7495,57.15,1
6278,1206.44,1
2409,57.35,1
7179,4.77,1
3780,141.04,1
2236,9.12,1
2284,2.22,1
2636,112.01,1
15345,0.05,1
11800,32.62,1
7294,21.21,1
3420,78.91,1
7358,9.30,1
149584,2.62,1
149591,7.62,1
8452,64.55,1
4629,234.48,1
37017,2.60,1
7540,325.05,1
11215,41.49,1
16414,55.34,1
149195,1474.86,1
149849,133.58,1
2073,467.52,1
9108,2.17,1
6560,0.47,1
3916,61.57,1
838,348.30,1
149960,47.88,1
11996,0.10,1
7037,2.20,1
12704,12.58,1
1864,301.22,1
1852,218.23,1
2945,54.92,1
149361,2.00,1
988,144.79,1
150265,556.22,1
4320,33.71,1
4162,16.17,1
1382,0.33,1
136313,1.20,1
3070,542.95,1
969,584.58,1
11711,19.85,1
17419,702.64,1
32560,5.20,1
702,1.60,1
2091,397.03,1
7178,20.25,1
2114,78.19,1
16832,10.72,1
15334,19.90,1
24423,236.04,1
11124,50.77,1
4558,163.42,1
150949,2063.13,1
2018,161.69,1
5884,99.28,1
37860,752.52,1
10938,7.27,1
12279,200.91,1
2506,14.18,1
1355,18.06,1
8133,164.42,1
14217,0.77,1
1605,25.00,1
3817,1140.05,1
1308,0.35,1
3511,7.48,1
150090,589.05,1
1641,1.87,1
151694,863.05,1
10131,76.16,1
151313,70.46,1
151861,4.50,1
151404,50.81,1
152140,30.75,1
152285,12.84,1
152267,0.07,1
152109,391.39,1
14633,2.87,1
2014,114.67,1
151418,35.77,1
152692,162.10,1
151892,96.37,1
151759,7.82,1
152825,0.32,1
149547,35.58,1
152472,2.15,1
153351,170.31,1
153103,472.25,1
7439,2131.41,1
9188,11.93,1
149241,590.93,1
13114,18.50,1
152896,579.01,1
153938,95.53,1
153741,211.20,1
154378,70.55,1
154458,1.90,1
154509,13.25,1
154674,578.85,1
154556,31.78,1
154092,600.84,1
155280,80.75,1
155628,434.93,1
155427,134.32,1
11325,10.42,1
148939,661.31,1
143701,647.46,1
14967,0.42,1
151366,19.66,1
156159,28.92,1
156182,704.51,1
155444,407.00,1
156042,0.45,1
156206,1738.27,1
144426,5.24,1
156184,13.62,1
156240,1465.20,1
155924,123.99,1
156276,382.34,1
156293,169.81,1
