,student_id,minutes_watched,paid_in_q2
0,3969,56.21,1
1,7015,0.17,1
2,2130,92.06,1
3,12971,36.54,1
4,6261,0.18,1
5,986,0.07,1
6,8734,238.45,1
7,7782,135.65,1
8,4019,415.31,1
9,6421,660.64,1
10,111643,23.27,1
11,7452,9.15,1
12,4034,1226.81,1
13,1018,171.13,1
14,6252,409.82,1
15,3598,33.52,1
16,3048,20.78,1
17,27104,0.07,1
18,4692,106.04,1
19,14425,12,1
20,841,1298.91,1
21,1900,59.21,1
22,5676,6.61,1
23,5836,1259.56,1
24,2410,462.67,1
25,4143,76.62,1
26,1019,8.58,1
27,9794,127.95,1
28,2685,8.12,1
29,4861,5.41,1
30,12442,134.97,1
31,26958,177.08,1
32,7521,59.25,1
33,3286,3.99,1
34,2417,47.23,1
35,12989,883.04,1
36,2653,669.41,1
37,8600,206.46,1
38,12857,229.5,1
39,1935,3.5,1
40,12589,234.95,1
41,998,6.63,1
42,3840,0.42,1
43,37860,195.94,1
44,5340,260.81,1
45,959,12.3,1
46,2409,1648.97,1
47,2819,27.05,1
48,7495,0.15,1
49,3914,8.58,1
50,15345,291.49,1
51,4609,19.22,1
52,1081,453.35,1
53,25863,93.04,1
54,1867,6.07,1
55,5704,0.55,1
56,16450,339.38,1
57,7282,92.18,1
58,3780,125.66,1
59,19005,340.21,1
60,7094,1.3,1
61,1363,765.74,1
62,6278,974.87,1
63,2304,195.34,1
64,8825,0.22,1
65,7358,163.47,1
66,4220,39.9,1
67,973,43.7,1
68,7294,129.5,1
69,1820,104.49,1
70,9252,0.73,1
71,1482,354.67,1
72,2636,1487.55,1
73,12241,140.94,1
74,26922,2.42,1
75,2236,18.37,1
76,1784,0.13,1
77,41613,328.77,1
78,11800,74.73,1
79,2894,0.75,1
80,2641,4.61,1
81,11365,358.81,1
82,41451,105.42,1
83,10938,2.54,1
84,3420,469.56,1
85,2284,135.93,1
86,5450,19.77,1
87,3897,0.12,1
88,17524,146.22,1
89,1897,189.57,1
90,4629,1812.84,1
91,3874,2.03,1
92,25992,23.59,1
93,1235,2.75,1
94,58539,24.05,1
95,13644,161.93,1
96,7306,132.29,1
97,9513,28.85,1
98,7540,193.14,1
99,19268,70.34,1
100,19074,39.13,1
101,10131,55.76,1
102,11628,35.23,1
103,2338,42.34,1
104,709,2.3,1
105,3426,17.5,1
106,1369,4.95,1
107,16414,220.32,1
108,1306,68.94,1
109,9260,2.08,1
110,8005,1456.07,1
111,838,507.83,1
112,3513,238.78,1
113,6560,20.35,1
114,4230,262.8,1
115,5299,265.1,1
116,2688,413.17,1
117,3611,67.86,1
118,4464,33.9,1
119,10690,0.08,1
120,1587,93.92,1
121,9521,0.07,1
122,9108,785.23,1
123,1424,136.74,1
124,1119,73.26,1
125,4395,1.3,1
126,9114,145.41,1
127,3034,2.18,1
128,1459,95.21,1
129,3708,1.33,1
130,1864,454.95,1
131,7275,3.43,1
132,11227,313.12,1
133,35147,18.37,1
134,22476,146.32,1
135,2018,215.3,1
136,4112,4.95,1
137,2312,51.25,1
138,7568,687.63,1
139,5334,11.49,1
140,14633,80.05,1
141,1852,587.98,1
142,11026,75.41,1
143,1033,0.05,1
144,19636,21.1,1
145,3248,34.23,1
146,7179,3.74,1
147,113546,6.48,1
148,4347,34.98,1
149,930,159.52,1
150,10398,178.84,1
151,52075,0.32,1
152,4001,181.14,1
153,782,33.91,1
154,14470,8.45,1
155,18719,118.61,1
156,5574,9.08,1
157,1866,1084.7,1
158,988,364.29,1
159,6394,332.58,1
160,2295,12.08,1
161,1216,0.19,1
162,956,1.92,1
163,1125,11.39,1
164,4991,946.76,1
166,34981,0.43,1
167,5058,15.68,1
168,12207,60.88,1
169,1052,34.33,1
170,10272,43.9,1
171,8950,5.43,1
172,1283,0.33,1
173,6944,15.45,1
174,7819,5.98,1
175,3850,405.6,1
176,2544,31.4,1
177,5227,0.33,1
178,3266,5.95,1
179,1600,33.55,1
180,6665,24.35,1
181,2084,0.4,1
182,2441,188,1
183,19347,14.23,1
184,3691,86.67,1
185,10791,37.93,1
186,2820,0.32,1
187,12270,0.95,1
188,3215,177.3,1
189,14915,960.06,1
190,3860,266.45,1
191,5212,415.7,1
192,3221,93.63,1
193,969,57.8,1
194,34081,1.93,1
195,9703,408.59,1
196,3070,863.66,1
197,7373,17.98,1
198,9754,17.97,1
199,4156,377.05,1
200,11739,5.95,1
201,800,482.24,1
202,7863,2.32,1
203,17943,6.99,1
204,9465,510.99,1
205,2917,1045.39,1
206,1705,606.2,1
207,6884,1509.07,1
208,3414,0.23,1
209,1389,66.67,1
210,4371,13.91,1
211,4162,0.55,1
212,6227,235.62,1
213,22195,1.68,1
214,6312,489.54,1
215,11711,27.56,1
216,1382,17.15,1
217,5996,61.93,1
218,7178,83.78,1
219,2922,433.28,1
220,8868,669.31,1
221,2723,114.78,1
222,3494,272.07,1
223,33916,2.85,1
224,6965,75.87,1
225,4515,87.05,1
226,3965,9.58,1
227,1960,276.4,1
228,21801,2.2,1
229,24423,1001.68,1
230,3613,1191.22,1
231,15110,0.12,1
232,20556,0.17,1
233,7291,7.72,1
234,2275,0.25,1
235,16832,0.1,1
236,6218,14.73,1
237,1947,185.16,1
238,8133,152.89,1
239,9112,8.93,1
240,6451,12.2,1
241,4104,251.62,1
242,30439,0.08,1
243,5612,173.05,1
244,2114,696.33,1
245,9334,68.37,1
246,3199,15.88,1
247,11124,6.15,1
248,7861,1918.87,1
249,928,99.05,1
250,10839,855.26,1
251,1461,7.8,1
252,2529,84.67,1
253,3447,10.1,1
254,2630,90.06,1
255,2911,4.05,1
256,6745,86.8,1
257,2719,49.2,1
258,7676,0.05,1
259,11538,0.1,1
260,2663,101.91,1
261,1355,232.41,1
262,33796,176.83,1
263,2506,11.5,1
264,6331,55.35,1
265,829,151.36,1
267,3983,18.61,1
268,3817,30.79,1
269,1294,1.75,1
270,25057,413,1
271,8018,133.56,1
272,2160,51.12,1
273,5104,253.4,1
274,6433,254.18,1
275,1099,0.28,1
276,13501,86.14,1
277,19821,132.01,1
278,12160,1565.98,1
279,6698,35.13,1
280,1605,173.91,1
281,6379,211.41,1
282,3700,131.03,1
283,4837,408.74,1
284,1437,318.9,1
285,13510,168.21,1
286,3213,525.13,1
287,9188,157.65,1
288,2429,16.11,1
289,17159,166.88,1
290,31588,4.55,1
291,1790,1340.69,1
292,2516,72.41,1
293,11583,155.86,1
294,1015,1026.31,1
295,961,326.15,1
296,2167,709.67,1
297,6395,348.22,1
298,977,0.6,1
299,2555,105.8,1
300,5385,334.88,1
301,2726,6.58,1
302,1166,338.81,1
303,18722,121.04,1
304,1029,62.65,1
305,603,8.19,1
306,1501,850.05,1
307,9354,7.95,1
308,1086,894.86,1
309,876,2.13,1
310,23708,539.58,1
311,2081,706.77,1
312,4574,36.1,1
313,13902,28.37,1
314,19150,133.36,1
315,4849,680.83,1
316,1680,1.63,1
317,11607,93.55,1
318,3473,35.8,1
319,5143,30.12,1
320,6363,62,1
321,25156,376.05,1
322,2278,0.67,1
323,4003,0.05,1
324,3297,64.6,1
325,10288,385.67,1
326,5358,14.98,1
327,10390,43.15,1
328,1667,23.18,1
329,616,1103.45,1
330,3707,662.26,1
331,9952,23.73,1
332,1862,2.7,1
333,4363,55.52,1
334,2375,59.79,1
335,3099,83.88,1
336,2414,219.83,1
337,6743,23.97,1
338,9803,273.99,1
339,19845,2.63,1
340,3138,26.58,1
341,1350,1694,1
342,9303,6.3,1
343,22653,0.08,1
344,3090,41.8,1
345,19053,16.23,1
346,1016,56.18,1
347,3702,73.37,1
348,1091,46.46,1
349,1465,47.44,1
350,4646,149.36,1
351,16417,0.07,1
352,10662,2.93,1
353,862,978.9,1
354,2743,11.23,1
355,4829,993.83,1
356,5515,7.28,1
357,4539,0.05,1
358,7687,2416.85,1
359,8912,291.24,1
360,4784,13.37,1
361,5579,7.38,1
362,2306,20.45,1
363,12043,23.58,1
364,3679,19.55,1
365,894,0.07,1
366,2091,2258.62,1
367,3815,210.96,1
368,5076,348.39,1
369,7254,363.28,1
370,7502,134.39,1
371,9021,159.27,1
372,5663,27.6,1
373,8779,0.3,1
374,18314,2.1,1
375,10685,76.46,1
376,10337,4.6,1
377,2362,125.08,1
378,16863,10.91,1
379,9231,144.59,1
380,2265,90.54,1
381,8380,667.09,1
382,1550,395.48,1
383,3441,45.7,1
384,3402,13.23,1
385,2621,221.12,1
386,5577,252.52,1
387,7382,969.49,1
389,5071,315.32,1
390,1710,18.63,1
391,14953,38.83,1
392,3512,383.11,1
393,11002,42.97,1
394,1132,139.87,1
395,11644,27.22,1
396,7631,22.94,1
397,1595,102.67,1
398,7482,110.27,1
399,9000,350.49,1
400,2738,0.28,1
401,12868,12.21,1
402,5010,391.48,1
403,18360,582.56,1
404,5774,22.1,1
405,6580,26.72,1
406,11748,87.23,1
407,19692,117.28,1
408,2324,2069.84,1
409,10103,8.75,1
410,1776,1695.52,1
411,15179,2.62,1
412,3080,171.5,1
413,8444,7.43,1
414,18319,309.35,1
415,9409,961.54,1
416,6814,27.43,1
417,2256,41.97,1
418,9793,1071.8,1
419,2335,36.38,1
420,8798,10.07,1
421,19562,925.36,1
422,2797,39.58,1
423,7217,2.59,1
424,5739,150.17,1
425,7962,32.77,1
426,8773,22.3,1
427,5153,59.78,1
428,4435,806.31,1
429,4402,324.81,1
430,1615,3.43,1
431,8095,697.8,1
432,3875,517.64,1
433,9478,42.53,1
434,3112,22.42,1
435,1801,3,1
436,4898,153.44,1
437,8068,111.56,1
438,1531,2.71,1
439,3074,25.3,1
440,4413,833.63,1
441,1244,26.03,1
442,1693,149.94,1
443,18954,686.16,1
444,3647,603.68,1
445,7021,31.6,1
446,8057,55.59,1
447,4640,293.82,1
448,18865,0.18,1
449,16118,1387.81,1
450,7620,118.36,1
451,4927,39.96,1
452,5671,29.2,1
453,16473,0.73,1
454,4706,304.39,1
455,5644,0.07,1
456,2821,351.24,1
457,18678,174.03,1
458,6659,189.13,1
459,6253,283.93,1
460,15472,152.05,1
461,5601,245.79,1
462,1214,36.09,1
463,3698,1650.93,1
