,student_id,minutes_watched,paid_in_q2
0,862,166.74,1
1,5515,6.99,1
2,2060,22.5,1
3,1064,66.85,1
4,1210,4.4,1
5,2385,10.58,1
6,1434,23.67,1
7,2222,2.45,1
8,2986,520.96,1
9,3292,57.95,1
10,9178,268.6,1
11,115084,1.13,1
12,10299,209.99,1
13,14649,51.06,1
14,148257,14.48,1
15,3643,559.3,1
16,148346,210.45,1
17,147884,13.8,1
18,148109,7.48,1
19,3598,133.9,1
20,841,324.74,1
21,5836,643.55,1
22,148577,22.67,1
23,148825,1100.74,1
24,148927,110.08,1
25,27104,187.67,1
26,149038,6.37,1
27,2417,13.13,1
28,75080,6.62,1
29,149023,14.92,1
30,149131,12.14,1
31,3631,6.78,1
32,6165,45.19,1
33,8600,18.47,1
34,5340,224.7,1
35,7495,57.15,1
36,6278,1206.44,1
37,2409,57.35,1
38,7179,4.77,1
39,3780,141.04,1
40,2236,9.12,1
41,2284,2.22,1
42,2636,112.01,1
43,15345,0.05,1
44,11800,32.62,1
45,7294,21.21,1
46,3420,78.91,1
47,7358,9.3,1
48,149584,2.62,1
49,149591,7.62,1
50,8452,64.55,1
51,4629,234.48,1
52,37017,2.6,1
53,7540,325.05,1
54,11215,41.49,1
55,16414,55.34,1
56,149195,1474.86,1
57,149849,133.58,1
58,2073,467.52,1
59,9108,2.17,1
60,6560,0.47,1
61,3916,61.57,1
62,838,348.3,1
63,149960,47.88,1
64,11996,0.1,1
65,7037,2.2,1
66,12704,12.58,1
67,1864,301.22,1
68,1852,218.23,1
69,2945,54.92,1
70,149361,2.0,1
71,988,144.79,1
72,150265,556.22,1
73,4320,33.71,1
74,4162,16.17,1
75,1382,0.33,1
76,136313,1.2,1
77,3070,542.95,1
78,969,584.58,1
79,11711,19.85,1
80,17419,702.64,1
81,32560,5.2,1
82,702,1.6,1
83,2091,397.03,1
84,7178,20.25,1
85,2114,78.19,1
86,16832,10.72,1
87,15334,19.9,1
88,24423,236.04,1
89,11124,50.77,1
90,4558,163.42,1
91,150949,2063.13,1
92,2018,161.69,1
93,5884,99.28,1
94,37860,752.52,1
95,10938,7.27,1
96,12279,200.91,1
97,2506,14.18,1
98,1355,18.06,1
99,8133,164.42,1
100,14217,0.77,1
101,1605,25.0,1
102,3817,1140.05,1
103,1308,0.35,1
104,3511,7.48,1
105,150090,589.05,1
106,1641,1.87,1
107,151694,863.05,1
108,10131,76.16,1
109,151313,70.46,1
110,151861,4.5,1
111,151404,50.81,1
112,152140,30.75,1
113,152285,12.84,1
114,152267,0.07,1
115,152109,391.39,1
116,14633,2.87,1
117,2014,114.67,1
118,151418,35.77,1
119,152692,162.1,1
120,151892,96.37,1
121,151759,7.82,1
122,152825,0.32,1
123,149547,35.58,1
124,152472,2.15,1
125,153351,170.31,1
126,153103,472.25,1
127,7439,2131.41,1
128,9188,11.93,1
129,149241,590.93,1
130,13114,18.5,1
131,152896,579.01,1
132,153938,95.53,1
133,153741,211.2,1
134,154378,70.55,1
135,154458,1.9,1
136,154509,13.25,1
137,154674,578.85,1
138,154556,31.78,1
139,154092,600.84,1
140,155280,80.75,1
141,155628,434.93,1
142,155427,134.32,1
143,11325,10.42,1
144,148939,661.31,1
145,143701,647.46,1
146,14967,0.42,1
147,151366,19.66,1
148,156159,28.92,1
149,156182,704.51,1
150,155444,407.0,1
151,156042,0.45,1
152,156206,1738.27,1
153,144426,5.24,1
154,156184,13.62,1
155,156240,1465.2,1
156,155924,123.99,1
157,156276,382.34,1
158,156293,169.81,1
159,156296,153.99,1
160,156343,51.86,1
161,156356,32.4,1
162,2851,401.55,1
163,8156,8.92,1
164,156388,32.5,1
165,32973,1.18,1
166,156399,8.62,1
167,149554,1.18,1
168,156407,1176.39,1
169,156409,667.97,1
170,148372,69.64,1
171,9305,174.72,1
172,156429,76.17,1
173,156439,55.3,1
174,13707,91.33,1
175,4336,723.45,1
176,156344,170.44,1
177,147200,42.07,1
178,103625,13.25,1
179,145569,3.49,1
180,152970,229.12,1
181,156132,20.88,1
182,156428,117.92,1
183,152174,23.07,1
184,5321,1966.61,1
185,63369,58.07,1
186,150663,221.28,1
187,155805,149.38,1
188,25047,295.41,1
189,156391,36.6,1
190,4739,2504.52,1
191,156498,466.72,1
192,156501,21.53,1
193,156241,23.97,1
194,156510,83.95,1
195,40867,119.69,1
196,147993,544.64,1
197,156534,423.91,1
198,156541,121.17,1
199,156549,0.37,1
200,16052,58.65,1
201,5010,617.9,1
202,155741,41.63,1
203,4778,36.94,1
204,156484,116.88,1
205,156615,27.75,1
206,147687,1054.12,1
208,156647,1033.01,1
209,156649,2274.22,1
210,7649,7.12,1
211,148996,21.67,1
212,616,116.02,1
213,156587,217.08,1
214,156680,19.12,1
215,156610,404.77,1
216,156693,335.38,1
217,156608,17.7,1
218,149812,0.23,1
219,156696,12.78,1
220,156694,5.8,1
221,156703,11.98,1
222,151663,31.57,1
223,41336,992.13,1
224,153895,0.05,1
225,148817,4.17,1
226,144682,226.14,1
227,17317,1.0,1
228,156760,0.2,1
229,156770,218.87,1
230,156774,0.3,1
231,156776,1558.33,1
232,16833,405.25,1
233,59138,416.63,1
234,156780,93.53,1
235,156787,59.13,1
236,3188,35.15,1
237,156831,271.57,1
238,147142,35.97,1
239,156521,293.76,1
240,156845,504.96,1
241,156996,20.62,1
242,156841,0.13,1
243,157171,43.83,1
244,157198,2201.84,1
245,157218,7.1,1
246,156099,5.68,1
